variant,n_origins,tls13_supported,tls13_supported_pct,tls12_supported,tls12_supported_pct,tls11_supported,tls10_supported,any_legacy,modern_no_legacy,modern_no_legacy_pct
CA Auth,375,247,65.9,354,94.4,43,36,43,314,83.7
US Authorities,373,313,83.9,371,99.5,12,11,12,360,96.5
UK Authorities,4,4,100.0,4,100.0,0,0,0,4,100.0
