variant,n_with_version,tls13_negotiated,tls13_negotiated_pct,tls12_negotiated,tls12_negotiated_pct,other_negotiated,other_negotiated_pct
CA Auth,356,246,69.1,110,30.9,0,0.0
CA Education,103,80,77.7,23,22.3,0,0.0
US Education,53,42,79.2,11,20.8,0,0.0
UK Education,402,340,84.6,62,15.4,0,0.0
