variant,n_origins,tls13_supported,tls13_supported_pct,tls12_supported,tls12_supported_pct,tls11_supported,tls10_supported,any_legacy,modern_no_legacy,modern_no_legacy_pct
CA Auth,375,247,65.9,354,94.4,43,36,43,314,83.7
CA Education,103,80,77.7,103,100.0,7,4,7,96,93.2
US Education,53,42,79.2,53,100.0,9,10,10,43,81.1
UK Education,417,340,81.5,399,95.7,37,35,37,365,87.5
