variant,n_with_version,tls13_negotiated,tls13_negotiated_pct,tls12_negotiated,tls12_negotiated_pct,other_negotiated,other_negotiated_pct
CA Auth,356,246,69.1,110,30.9,0,0.0
US Authorities,371,314,84.6,57,15.4,0,0.0
UK Authorities,4,4,100.0,0,0.0,0,0.0
