order,theme,metric_label,base_dataset,comparator_dataset,base_x,base_n,base_pct,base_ci_low_pct,base_ci_high_pct,base_display,comparator_x,comparator_n,comparator_pct,comparator_ci_low_pct,comparator_ci_high_pct,comparator_display,delta_pp,delta_pp_display,test_name,p_value,p_value_display,rationale
1,Transport,HTTP→HTTPS upgrade,CA Authorities,US Authorities,338,375,90.13333333333333,86.6959161436588,92.75681555212115,90.1 [86.7--92.8],353,373,94.63806970509384,91.86352780681165,96.50251246050492,94.6 [91.9--96.5],-4.504736371760515,-4.5,chi_square,0.020246883970092305,0.020,Primary cross-jurisdiction comparison for HTTPS upgrade behavior.
2,Transport,Negotiated TLS 1.3,CA Authorities,US Authorities,246,356,69.10112359550563,64.1185004256705,73.67590689132676,69.1 [64.1--73.7],314,371,84.63611859838275,80.61336071195127,87.94893333438723,84.6 [80.6--87.9],-15.534995002877125,-15.5,chi_square,6.430883101296306e-07,<0.001,Primary cross-jurisdiction comparison for modern TLS negotiation.
3,Transport,Any HSTS,CA Authorities,US Authorities,175,293,59.72696245733788,54.02027827030768,65.18188207379504,59.7 [54.0--65.2],245,273,89.74358974358975,85.57590581756503,92.80826765925347,89.7 [85.6--92.8],-30.016627286251868,-30.0,chi_square,3.459285154808947e-16,<0.001,Primary cross-jurisdiction HSTS comparison highlighted in paper and reviews.
4,Application,CSP frame-ancestors,CA Authorities,US Authorities,73,408,17.89215686274509,14.477744165889266,21.90556436826561,17.9 [14.5--21.9],109,314,34.71337579617834,29.66114867287636,40.13512720793974,34.7 [29.7--40.1],-16.82121893343325,-16.8,chi_square,2.463441429167544e-07,<0.001,Supports claim that Canadian authorities lag on modern browser policy controls.
6,Disclosure,security.txt present,CA Authorities,US Authorities,4,375,1.06666666666666,0.4155592361729339,2.710179859005631,1.1 [0.4--2.7],13,373,3.485254691689,2.047902578547824,5.8709683741283145,3.5 [2.0--5.9],-2.4185880250223404,-2.4,fisher,0.028732061374220942,0.029,Supports disclosure-readiness claim centered on standardized vulnerability reporting.
7,Reconnaissance,Any revealing headers,CA Authorities,US Authorities,385,408,94.3627450980392,91.68328725377776,96.2145841608632,94.4 [91.7--96.2],253,314,80.57324840764332,75.83848651508174,84.56896172328608,80.6 [75.8--84.6],13.789496690395879,+13.8,chi_square,1.0115711217040513e-08,<0.001,Cross-jurisdiction comparison for reconnaissance exposure.
7,Reconnaissance,Any revealing headers,CA Authorities,CA Finance,385,408,94.3627450980392,91.68328725377776,96.2145841608632,94.4 [91.7--96.2],76,142,53.52112676056338,45.33305212493814,61.52370205219648,53.5 [45.3--61.5],40.84161833747582,+40.8,chi_square,5.149222887190426e-30,<0.001,Supports claim that Canadian authorities are more exposed than domestic finance.
9,Error leakage,Version leak,CA Authorities,US Authorities,40,375,10.66666666666666,7.931555274134356,14.1994884127258,10.7 [7.9--14.2],24,373,6.434316353887399,4.361596695343043,9.395270911630286,6.4 [4.4--9.4],4.232350312779261,+4.2,chi_square,0.03853539082025514,0.039,Supports discussion of leakage surfaced by the 404-probe measurement.
11,Error leakage,Version leak,CA Authorities,US Authorities,40,375,10.66666666666666,7.931555274134356,14.1994884127258,10.7 [7.9--14.2],24,373,6.434316353887399,4.361596695343043,9.395270911630286,6.4 [4.4--9.4],4.232350312779261,+4.2,chi_square,0.03853539082025514,0.039,Supports discussion of leakage surfaced by the 404-probe measurement.
