variant,n_tls12_forced_attempted,recommended,recommended_pct,sufficient,sufficient_pct,phase_out,phase_out_pct,insecure,insecure_pct,unknown,unknown_pct
CA Auth,354,265,74.9,6,1.7,12,3.4,0,0.0,71,20.1
US Authorities,370,315,85.1,0,0.0,4,1.1,0,0.0,51,13.8
UK Authorities,4,2,50.0,0,0.0,0,0.0,0,0.0,2,50.0
