"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
17623,6/30/2025 0:00:00,9285,0,0,0,0,0,0,73485031,0,0,0,0,0,0,0,178225791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9820905,262200213,0,0,0,0,668486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2942,2280,0,0,0,0,0,0,1836
17630,6/30/2025 0:00:00,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,0,0,0,0,0,0,107
17636,6/30/2025 0:00:00,9294,0,0,0,0,0,0,261042,0,0,0,0,0,0,0,2722833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122591,0,0,176000,3282466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,266
17642,6/30/2025 0:00:00,9297,0,0,0,0,0,0,163035508,0,0,0,0,0,0,0,171389249,0,0,0,0,0,0,0,0,0,6969577,0,0,0,0,29402906,0,0,0,446914686,0,0,0,0,83087023,317,9,5,0,0,0,50,1,109,0,171,1,172,141,8,10,0,154,326,2406,8756,0,0,0,0,0,0,35659
17665,6/30/2025 0:00:00,9307,0,0,0,0,0,0,221007,0,0,0,0,0,0,0,7358108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613038,0,0,7362,9113874,0,0,0,0,914359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,232,0,0,0,0,0,0,187
17675,6/30/2025 0:00:00,9315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17679,6/30/2025 0:00:00,9317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17681,6/30/2025 0:00:00,9318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
17687,6/30/2025 0:00:00,9323,0,0,0,0,0,0,18417,0,0,0,0,0,0,0,799894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27310,845621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,11
17691,6/30/2025 0:00:00,9325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17715,6/30/2025 0:00:00,9339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
17733,6/30/2025 0:00:00,9349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569722,0,0,0,0,25636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,37
17752,6/30/2025 0:00:00,9364,0,0,0,0,0,0,2847975,0,0,0,0,0,0,0,1691999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548107,5088081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,21
17793,6/30/2025 0:00:00,9388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
17831,6/30/2025 0:00:00,9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62025,62510,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
17841,6/30/2025 0:00:00,9412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
