"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_606A","ACCT_606B","ACCT_607","ACCT_608","ACCT_609","ACCT_620","ACCT_621","ACCT_622","ACCT_623","ACCT_624","ACCT_625","ACCT_626","ACCT_627","ACCT_628","ACCT_630A","ACCT_630B1","ACCT_630B2","ACCT_640","ACCT_652C","ACCT_653A","ACCT_653B1","ACCT_653B2","ACCT_653C","ACCT_655C","ACCT_656A","ACCT_656B1","ACCT_656B2","ACCT_657A","ACCT_657B1","ACCT_657B2","ACCT_659","ACCT_660","ACCT_661","ACCT_670A","ACCT_670B","ACCT_672C","ACCT_698","ACCT_709","ACCT_725","ACCT_726","ACCT_731","ACCT_732","ACCT_733","ACCT_734","ACCT_735","ACCT_736","ACCT_737","ACCT_741C","ACCT_742C","ACCT_746C","ACCT_747A","ACCT_747B1","ACCT_747B2","ACCT_747C","ACCT_750C","ACCT_752","ACCT_753","ACCT_754","ACCT_756","ACCT_757","ACCT_758","ACCT_760A","ACCT_760B1","ACCT_760B2","ACCT_761A","ACCT_761B1","ACCT_761B2","ACCT_770","ACCT_772","ACCT_773","ACCT_774","ACCT_776","ACCT_777","ACCT_778","ACCT_780","ACCT_781","ACCT_795","ACCT_799","ACCT_811","ACCT_812","ACCT_813","ACCT_814","ACCT_815","ACCT_816","ACCT_817","ACCT_818","ACCT_820","ACCT_821","ACCT_850","ACCT_860A","ACCT_860B1","ACCT_860B2","ACCT_865","ACCT_880A","ACCT_880B1","ACCT_880B2","ACCT_900","ACCT_902A","ACCT_902B1","ACCT_902B2","ACCT_906B1","ACCT_906B2","ACCT_906C","ACCT_908B1","ACCT_908B2","ACCT_911A","ACCT_911B1","ACCT_911B2","ACCT_913","ACCT_914","ACCT_955","ACCT_956","ACCT_957","ACCT_958","ACCT_961","ACCT_962","ACCT_963","ACCT_964","ACCT_965","ACCT_966","ACCT_970","ACCT_971","ACCT_972","ACCT_974","ACCT_977","ACCT_978","ACCT_982","ACCT_983","ACCT_984","ACCT_985","ACCT_986","ACCT_987","ACCT_988","ACCT_990","ACCT_992","ACCT_993","ACCT_994","ACCT_995","ACCT_603","ACCT_743C","ACCT_744A","ACCT_744B1","ACCT_744B2","ACCT_744C","ACCT_085","ACCT_086","ACCT_087","ACCT_782","ACCT_783","ACCT_784","ACCT_796A","ACCT_796B","ACCT_796C","ACCT_796D","ACCT_796E","ACCT_797A","ACCT_797B","ACCT_797C","ACCT_797D","ACCT_797E","ACCT_799B","ACCT_799C","ACCT_799D","ACCT_840","ACCT_875","ACCT_877","ACCT_945","ACCT_801","ACCT_614","ACCT_615","ACCT_745A","ACCT_745B","ACCT_745C","ACCT_745D","ACCT_745E","ACCT_819","ACCT_867A","ACCT_867B1","ACCT_867B2","ACCT_867C","ACCT_925","ACCT_841","ACCT_465","ACCT_466","ACCT_767","ACCT_768","ACCT_918","ACCT_919","Acct_026A","Acct_026B","Acct_027A","Acct_027B","Acct_028A","Acct_028B","Acct_045A","Acct_045B","Acct_585","Acct_680","Acct_681","Acct_682","Acct_769","Acct_785","Acct_786","Acct_787","Acct_892","Acct_895","Acct_896","Acct_899","ACCT_020I","ACCT_021I","ACCT_022I","ACCT_023I","ACCT_041I","ACCT_550I","ACCT_551I","ACCT_981","ACCT_981A","ACCT_981B","ACCT_065A1","ACCT_065A2","ACCT_065A3","ACCT_065A4","ACCT_065B1","ACCT_065C1","ACCT_065D1","ACCT_065E1","ACCT_067A1","ACCT_067A2","ACCT_067B1","ACCT_067C1","ACCT_068A","ACCT_069A","ACCT_033A","ACCT_033B","ACCT_033C","ACCT_033D","ACCT_033E","ACCT_034A","ACCT_034B","ACCT_034C","ACCT_034D","ACCT_034E","ACCT_035A","ACCT_035B","ACCT_035C","ACCT_035D","ACCT_035E"
9643,6/30/2025 0:00:00,4620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15975499,0,0,0,0,0,0,0,0,0,0,0,0,95977681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44065442,0,0,2405249,0,7717229,3360304,0,9382543,0,0,0,0,0,65601,0,1311,0,0,0,0,0,41079,0,631919,0,0,0,0,0,0,0,0,0,0,0,0,0,4714,1465,11,62023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51486,0,0,0,0,37,101658,0,103012,21265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812088,0,0,0,0,0,0,0,0,812088,210807316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9644,6/30/2025 0:00:00,4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512688,0,0,0,0,0,0,0,0,0,0,0,0,10717270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745000,0,746000,0,5393632,0,0,0,0,0,160558,0,660092,0,0,0,0,0,400035,0,172,0,0,0,0,0,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,17,92024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206970,0,0,0,0,0,0,0,0,1206970,23195789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9662,6/30/2025 0:00:00,4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408883,0,0,0,0,0,0,0,0,0,0,0,0,33359233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12312697,0,0,962076,13157,2386678,1340303,45980,0,0,0,0,0,0,108376,0,147,0,0,0,0,0,8552,0,118006,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,578,12,32024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834124,0,0,0,0,0,0,0,0,834124,53619220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9676,6/30/2025 0:00:00,4637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107739,0,94,0,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,92023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5787843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9681,6/30/2025 0:00:00,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31800115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9192808,0,0,0,0,5605280,128323,0,0,0,0,0,0,0,373013,0,139,0,0,0,0,0,7956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,464,21,92024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7977,1,7977,0,7746,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826935,0,0,0,0,0,0,0,0,826935,50472316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9715,6/30/2025 0:00:00,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147300,0,0,0,0,0,0,0,0,0,0,0,0,16135481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095000,2591000,0,0,9610484,0,0,111459,0,2553044,898921,82282,2597195,0,0,0,0,0,323608,0,61,0,0,0,0,0,6104,0,157608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,8,92023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9171896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177248,0,0,0,0,0,0,0,0,1177248,42141104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9723,6/30/2025 0:00:00,4663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32073921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66540,0,28,0,0,0,0,0,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,4,122024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896869,0,0,0,0,0,0,0,0,896869,31177052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9759,6/30/2025 0:00:00,4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646338,0,0,0,0,0,0,0,0,0,0,0,0,176455265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13327658,7178000,4705005,0,169755737,0,0,3877544,2607397,34411632,16720535,4019626,112530055,0,0,0,0,0,5773758,0,2311,0,0,0,0,0,163654,0,1773805,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,5573,63,122023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322689,0,110736,0,0,91,652776,0,525623,64525,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71876153,0,0,0,0,0,471005,0,0,72347158,714278473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9776,6/30/2025 0:00:00,4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12794372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4291039,0,0,76518,0,793229,280259,237458,1824734,0,0,0,0,0,36309,0,44,0,0,0,0,0,3902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,100,7,92024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3756,0,0,0,0,2,4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50276,0,0,0,0,0,0,0,0,50276,20684531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9777,6/30/2025 0:00:00,4690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18366,0,0,0,0,0,0,0,0,0,0,0,0,11995448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5912487,0,0,51434,278388,1040738,621313,340690,8170277,0,0,0,0,0,797889,0,49,0,0,0,0,0,2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,106,27,122023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029072,0,0,0,0,0,0,0,0,2029072,27497556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9778,6/30/2025 0:00:00,4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7147226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77747,0,85,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7,92024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243482,0,0,0,0,0,0,0,0,243482,6923744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9788,6/30/2025 0:00:00,4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829102214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89746,0,0,0,480754810,0,0,0,0,151463589,62619029,7927131,611862726,0,0,0,0,0,2289537,0,5035,0,0,0,0,0,245941,0,491057,0,0,0,0,0,0,0,0,0,0,0,0,0,18532,7331,48,92024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313645287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116670,0,15831,0,0,39,208011,0,561589,98475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187028341,0,0,0,0,0,0,0,0,187028341,2372861961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,6/30/2025 0:00:00,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16523308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,120000,60000,0,0,0,0,0,4158248,0,0,287031,0,1177855,1391779,0,0,0,0,0,0,0,700216,0,173,0,0,0,0,0,4896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,895,16,92023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,120000,60000,240000,0,0,0,0,0,0,0,0,0,984,0,0,0,0,2,984,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9421224,0,0,0,0,0,0,0,0,9421224,16513414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9805,6/30/2025 0:00:00,4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6949743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52596,0,61,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,13,122024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6949743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9810,6/30/2025 0:00:00,4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5813388,0,0,0,0,0,0,0,0,0,0,0,0,26294539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16704674,0,0,705253,1231143,5607877,9858247,1563524,32806291,0,0,0,0,0,4157821,0,57,0,0,0,0,0,11519,0,256491,0,0,0,0,0,0,0,0,0,0,0,0,0,664,420,30,122024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13639208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3883,0,11011,0,7603,3,22497,0,3805,405,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124576,0,0,0,0,0,0,0,0,6124576,127553003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9812,6/30/2025 0:00:00,4711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18134871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243409,0,0,0,7715074,0,0,610742,117447,1681765,989373,151287,0,0,0,0,0,0,173565,0,68,0,0,0,0,0,5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,99,9,62023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11204330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17646,0,0,0,0,4,23066,0,19072,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702442,0,0,0,0,0,993409,0,0,2695851,41528015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9822,6/30/2025 0:00:00,4718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11908031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172927,0,0,0,0,0,0,0,0,0,0,0,0,0,533839,0,22,0,0,0,0,0,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,231,7,62025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603011,0,0,0,0,0,0,0,0,603011,16284759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9823,6/30/2025 0:00:00,4719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969161,0,0,0,0,0,0,0,0,0,0,0,0,6234669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3326298,0,0,71033,0,71439,143340,0,3157169,0,0,0,0,0,443728,0,29,0,0,0,0,0,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,129,5,62023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40333,0,5968,0,0,7,67697,0,8015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14330842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9843,6/30/2025 0:00:00,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470245,0,0,0,0,0,0,0,0,0,0,0,0,7822119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151329,0,0,0,0,139672,0,0,0,0,0,0,0,0,53295,0,10,0,0,0,0,0,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,5,92023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12346728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9871,6/30/2025 0:00:00,4745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932305,0,0,0,0,0,0,0,0,0,0,0,0,73710668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,1004,3486000,0,0,43563720,0,0,3848784,0,8136686,4432660,225751,9160580,0,0,0,0,0,812744,0,735,0,0,0,0,0,29188,0,170972,0,0,0,0,0,0,0,0,0,0,0,0,0,520,1756,27,122024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,0,0,0,0,2,5110,0,2166,2550,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5821684,0,0,0,0,0,0,0,0,5821684,209707466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9873,6/30/2025 0:00:00,4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20769218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980078,0,0,0,0,1675574,237176,0,0,0,0,0,0,0,312183,0,256,0,0,0,0,0,2900,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,488,170,24,122024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,0,0,0,0,1,1134,0,5122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981200,0,0,0,0,0,0,0,0,981200,27606130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9877,6/30/2025 0:00:00,4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400407,0,0,0,0,0,0,0,0,0,0,0,0,7941267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005518,0,0,0,4445985,0,0,80618,0,1331666,446886,0,4554659,0,0,0,0,0,484313,0,119,0,0,0,0,0,4713,0,35023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,15,62024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464157,0,0,0,0,0,7518,0,0,471675,21871657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
