"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
63830,6/30/2025 0:00:00,18058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4859670,0,0,0,0,0,0,0,0,,0,5813448,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
63832,6/30/2025 0:00:00,18060,0,117842218,3769527,31096890,1,0,12868662,438339,0,0,0,0,438339,0,0,0,0,0,0,11506220,30001688,27571645,48476618,53872333,171428504,0,0,0,0,0,0,0,-36556369,0,4241981,0,0,0,4241981,0,0,0,0,0,1526242865,0,0,0,0,0,0,0,0,01/01/2023,5698222,1668899986,0,0,0,0,0,0,0,0,0,0,0,5621230,0,0,1396,8,8534500,0,0,0,0,0
63834,6/30/2025 0:00:00,18062,0,0,1086131,0,1,0,1415352,0,0,0,0,0,0,0,0,0,0,0,0,1557605,1753659,7659179,4279407,0,15249850,0,0,0,0,0,0,0,-1208709,0,26969,0,0,0,26969,0,0,0,0,0,87557879,0,0,0,0,0,0,0,0,01/01/2023,0,95977256,0,0,0,312384,0,422793,0,0,0,0,0,335259,0,0,0,0,0,1311,1758024,0,0,0
63837,6/30/2025 0:00:00,18065,0,22009569,879943,1327796,1,0,7009815,0,0,0,0,0,0,0,0,0,0,0,0,60086566,0,8260659,83444683,1999486,153791393,0,0,0,0,0,0,0,-4195608,0,-930149,0,0,0,-930149,0,0,0,0,0,497294509,0,0,0,0,0,0,0,0,01/01/2023,1610403,583159246,0,0,0,0,0,0,0,0,0,0,0,331640,0,0,2360387,0,0,0,0,0,0,0
63844,6/30/2025 0:00:00,18072,0,0,673433,0,1,0,207293,0,0,0,0,0,0,0,0,0,0,0,0,2225874,6703817,498770,0,0,9428461,0,0,0,0,0,0,0,-215539,0,44702,0,0,0,44702,0,0,0,0,0,51376969,0,0,0,0,0,0,0,0,01/01/2023,0,57745123,0,0,0,0,0,0,0,0,0,0,0,111800,0,0,0,0,0,0,0,0,0,0
63851,6/30/2025 0:00:00,18079,0,0,0,0,1,0,15180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5935447,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,7295650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63859,6/30/2025 0:00:00,18087,0,5352,552161,202758,1,0,586690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123448,0,0,0,123448,0,0,0,0,0,87716549,0,0,0,0,0,0,0,0,03/01/2023,0,102124830,0,0,0,0,0,0,0,0,0,0,0,129659,0,0,0,0,0,0,0,0,0,0
63868,6/30/2025 0:00:00,18096,0,291933,4513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6504493,0,0,0,0,0,0,0,0,,0,7793482,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,0
63891,6/30/2025 0:00:00,18119,0,0,8689,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5320856,0,0,0,0,0,0,0,0,,0,5939231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63896,6/30/2025 0:00:00,18124,0,16623514,351218,925971,1,0,72491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,40000,0,0,0,0,0,72364410,0,0,0,0,0,0,0,0,01/01/2023,0,83960581,0,0,0,0,0,0,0,0,0,0,0,108820,0,0,0,0,0,0,0,0,0,0
