"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
67200,6/30/2025 0:00:00,21421,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496000,496000,0,0,496000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984000,7452000,2232000,0,0,11668000,0,0,0,496000,836120,0,0,0,0,836120,3316120,7452000,2232000,0,0,13000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14896226,105838,0,0,105838,0,0,0,946540,14055524,0,14055524,0,0,0,0,0,0,0,0,0,0,0,0,0
67201,6/30/2025 0:00:00,21422,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6017825,5418302,0,0,0,0,0,0,6017825,5418302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6017825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11332000,12225000,10234000,748000,0,34539000,0,0,0,6017825,0,402857,0,0,0,402857,12331929,13127569,11231442,4268742,0,40959682,0,0,0,0,0,0,0,0,15826314,3630593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18469706,707835,0,0,707835,0,0,0,932430,18245111,0,18245111,0,0,0,0,0,0,0,0,0,0,0,0,0
67208,6/30/2025 0:00:00,21429,Subm,0,0,0,89062202,0,0,0,0,0,0,0,0,0,0,440708301,0,0,155900396,0,268272776,0,0,0,0,0,0,0,0,20000000,0,0,0,0,0,0,150560012,148356663,0,0,0,0,0,0,150560012,148356663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496000,477474,0,0,0,0,0,0,496000,150560012,148356663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494000,248000,0,0,0,1742000,0,0,148356663,496000,1778863,0,826200,1214484,785516,4605063,29226119,64084971,59888636,1214484,785516,155199726,0,0,0,0,0,8887418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148433539,7823721,0,0,7823721,0,0,0,6893527,149363733,0,149363733,0,0,0,0,0,0,0,0,0,0,0,0,0
67214,6/30/2025 0:00:00,21435,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37782624,0,62175268,0,0,0,52162921,0,0,0,0,18000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423097,1136622,0,530560,0,2090279,423097,1136622,0,530560,0,2090279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39950796,2742771,0,0,2742771,0,0,0,2756789,39936778,0,39936778,0,0,0,0,0,0,0,0,0,0,0,0,0
67222,6/30/2025 0:00:00,21443,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565750,2565750,2565750,14094967,11433687,0,0,0,25528654,2565750,0,0,0,807214,0,0,0,0,807214,17467931,11433687,0,0,0,28901618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16917493,520199,0,0,520199,0,0,0,687420,16750272,0,16750272,0,0,0,0,0,0,0,0,0,0,0,0,0
67226,6/30/2025 0:00:00,21447,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36390038,0,0,6431450,0,9116970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8733476,8224454,0,0,8733476,8224454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872958,3687405,0,0,2994000,2986219,0,0,0,0,0,15600434,14898078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14898076,0,0,540167,0,0,0,540167,4690851,5070814,4688384,988194,0,15438243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641250,0,0,0,59988,0,0,0,12272147,632495,0,0,632495,0,0,0,874113,12030529,0,12030529,0,0,0,0,0,0,0,0,0,0,0,0,0
67237,6/30/2025 0:00:00,23630,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200382,0,0,0,0,200382,0,0,0,0,0,0,0,0,361,361,200382,0,0,0,361,200743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498983,10738,0,0,10738,0,0,0,25457,484264,0,484264,0,0,0,0,0,0,0,0,0,0,0,0,0
67238,6/30/2025 0:00:00,23679,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48741096,0,48741096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369954,1270460,0,0,1369954,1270460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369954,1270460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22348000,18129000,5474000,0,0,45951000,0,0,1270460,0,0,331400,0,0,356954,688354,22348000,18567000,5569391,286404,1139019,47909814,0,0,0,0,857143,114925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27764135,851220,0,0,851220,0,0,0,2165089,26450266,0,26450266,0,0,0,0,0,0,0,0,0,0,0,0,0
67240,6/30/2025 0:00:00,23535,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,243066,1500000,1481830,0,0,0,0,250000,243066,1500000,1481830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746000,738203,0,0,0,0,0,0,996000,1500000,1481830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10734000,7378000,5645000,0,0,23757000,0,0,1481830,996000,0,63700,0,528454,187980,780134,13211830,7441700,5645000,528454,187980,27014964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9696908,341630,0,0,341630,0,0,0,813938,9224600,0,9224600,0,0,0,0,0,0,0,0,0,0,0,0,0
67243,6/30/2025 0:00:00,23153,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11287000,12016000,1998000,0,0,25301000,0,0,0,0,0,0,0,80485,160970,241455,11287000,12016000,1998000,80485,160970,25542455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5974858,125579,0,0,125579,0,0,0,389832,5710605,0,5710605,0,0,0,0,0,0,0,0,0,0,0,0,0
