"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
9248,6/30/2025 0:00:00,4381,0,0,0,0,8713482,0,0,10660581,0,8713482,0,0,0,0,0,20,0,0,0,0,32025,0,0,0,0,0,0,0,0,95754,0,91335,0,0,0,0,0,0,0,0,0,0,0,25805,0,0,0,0,0,0,0,0,68585,1890,11070,29237,0,4200,28208,0,0,0,0,1148,485,2055124,0,0,384441,0,0,0,0,0,231787,0,0,0,0,0,387,28,1225,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,187089,0,25805,38715,0,24356,0,0,19343,0,0,0,0,0,0,0,50505,-198711,0,0,0,0,0,0,0,0,0,0,1928252,1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9260,6/30/2025 0:00:00,4387,0,0,0,0,1867905099,152221817,33875769,2406794317,0,1867905099,152221817,33875769,0,0,0,139,0,0,0,0,122024,0,0,0,0,0,0,0,0,47047841,0,5457639,0,0,0,0,0,0,0,0,0,0,0,6026848,0,0,0,0,0,0,0,0,16250822,253425,2773257,2950506,1597284,1328461,4263836,0,4000,0,0,200164,620210,72788184,0,0,20824984,0,0,0,0,13520156,13678710,0,0,28409,0,15998,88149,6724,134577,2188,8499,256135,0,0,0,0,0,0,0,0,0,0,0,0,0,301,6,0,0,0,0,0,0,52505480,0,12797778,23635919,0,10419374,0,1484387,0,0,0,0,0,0,0,0,25390195,192081870,0,0,0,0,0,0,0,0,0,0,251444580,1045,0,165462351,0,116071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342612,16147482,53376703,72866797,727938735,0,0,15406604,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9287,6/30/2025 0:00:00,4400,0,0,0,0,31445813,1148095,86546,45937781,0,36324813,1148095,86546,0,0,0,20,0,0,0,0,82024,0,0,0,0,0,0,0,0,834692,0,148119,0,0,0,0,0,0,0,0,0,0,0,126169,0,0,0,0,0,0,0,0,362274,8445,0,132980,8242,10605,189548,0,0,0,0,0,31049,3745986,0,0,4926387,0,0,0,0,1257315,500139,0,0,0,0,135,1457,96,2811,153,0,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,982811,0,184090,290941,0,130882,0,90855,37429,0,0,0,0,0,0,0,465613,3818640,0,0,0,0,0,0,0,0,0,0,5289820,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,3000000,3000000,0,0,332770,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9288,6/30/2025 0:00:00,4401,0,0,0,0,36941521,64744,5144,40641018,0,36941521,64744,5144,0,0,0,41,0,0,0,0,122023,0,0,0,0,0,0,0,0,820545,0,216024,0,0,0,0,0,0,0,0,0,0,0,75679,0,0,0,0,0,0,0,0,510271,1449,56201,228928,8525,7585,35430,0,0,0,0,2548,17610,4640610,0,0,3177480,0,0,0,0,1052626,2587432,0,0,0,-146591,118,1210,27,2479,0,47,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1036569,0,19624,201864,0,-52647,0,41033,0,0,0,0,0,0,0,0,303927,9441432,0,0,0,0,0,0,0,0,0,0,3787581,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500250,0,0,743353,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9289,6/30/2025 0:00:00,4402,0,0,0,0,80209239,1212680,0,92777007,0,80209239,1212680,0,0,0,0,10,0,0,0,0,92024,0,0,0,0,0,0,0,0,1456578,0,469817,0,0,0,0,0,0,0,0,0,0,0,147382,0,0,0,0,0,0,0,0,810811,33663,112355,166482,77788,67016,464632,0,0,0,0,10615,12426,7839992,0,0,5305855,0,0,0,0,2252928,1451733,0,0,0,109794,512,2145,150,5519,0,259,8585,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,1926395,0,468378,310036,0,340456,0,125791,0,0,0,0,0,0,0,0,1133385,9682346,0,0,0,0,0,0,0,0,0,0,11123181,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,7375363,0,0,0,0,0,0,0,0,0,1600000,0,0,18642,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9292,6/30/2025 0:00:00,4404,0,0,0,0,565743679,7557275,1743668,689180373,0,565744718,7557275,1743668,0,0,0,38,0,0,0,0,122023,0,0,0,0,0,0,0,0,13917850,0,3309352,0,0,0,0,0,0,0,0,0,0,0,1283252,0,0,0,0,0,0,0,0,6319045,35709,593344,1685090,371487,869972,647300,0,0,0,0,31038,155349,27390065,0,0,23410160,0,0,0,0,8486057,14920589,0,0,-3798,0,1609,21279,647,41936,8,2229,67709,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,0,0,0,0,0,0,17227202,0,2099432,5215986,0,2747936,0,218575,0,0,24500000,0,0,0,0,0,3451050,127044974,0,0,0,0,0,0,0,0,33273,0,107351527,1558,0,0,0,195993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,79391191,0,0,0,0,0,0,0,0,0,151793025,0,0,1409773,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9293,6/30/2025 0:00:00,4405,0,0,0,0,341718304,2338708,1432869,404005936,0,343960304,2338708,1432869,0,0,0,102,0,0,0,0,122024,0,0,0,0,0,0,0,0,6673458,0,1882339,0,0,0,0,0,0,0,0,0,0,0,906242,0,0,0,0,0,0,0,0,3793840,62794,556742,1846257,311214,445563,831793,0,0,0,0,41538,122094,47142922,0,0,69002198,0,0,0,0,9142667,5223940,0,0,0,12917,1273,14757,455,34267,324,558,51637,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,8555797,0,2289535,1136957,0,1257278,0,0,0,0,0,0,0,0,0,0,2381950,14559227,0,0,0,0,0,0,0,0,0,0,50099071,1239,0,54375627,0,166511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914,96045577,0,0,0,0,0,11000000,0,0,11000000,79086570,0,0,2415357,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9296,6/30/2025 0:00:00,4407,0,0,0,0,692284037,34229909,5417441,822657540,0,692284037,34229909,5417441,0,0,0,90,0,0,0,0,122024,0,0,0,0,0,0,0,0,18692585,0,2700883,0,0,0,0,0,0,0,0,0,0,0,5663465,0,0,0,0,0,0,0,0,7729260,207904,1535395,4576762,267592,1149315,442078,0,6454,0,0,71230,476600,80094010,0,0,45317532,0,0,0,0,22597683,27258629,0,0,-11274,1029231,3887,36668,1175,64183,0,1038,106951,0,0,0,0,0,0,0,0,0,0,0,0,0,149,9,0,0,0,0,0,0,21393468,0,7091041,6488710,0,4044456,0,0,656,0,0,0,0,0,0,0,17588181,68434644,0,0,0,0,0,0,0,0,0,0,74265792,902,0,0,0,107804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,318695,0,0,0,0,0,0,20000000,0,20000000,159284782,0,0,12714346,1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9300,6/30/2025 0:00:00,4409,0,0,0,0,210192338,4454769,409374,241898915,0,210192338,4454769,409374,0,0,0,181,0,0,0,0,122024,0,0,0,0,0,0,0,0,4131736,0,979595,0,0,0,0,0,0,0,0,0,0,0,1256208,0,0,0,0,0,0,0,0,2699655,60934,339913,1042530,149768,323758,1049311,0,0,0,0,23842,58944,35372853,0,0,37423254,0,0,0,0,5739997,15528418,0,0,3797,1817738,955,15623,429,29745,0,295,47047,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,0,0,0,0,0,0,5111331,0,4053136,851159,0,1778853,0,275312,0,0,0,0,0,0,0,0,4474502,12179185,0,0,0,0,0,0,0,0,0,0,26136458,1079,0,0,0,100800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,52526559,0,0,0,0,0,0,0,0,0,31175971,0,0,2362063,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9310,6/30/2025 0:00:00,4415,0,0,0,0,3659586,0,0,4689021,0,3659586,0,0,0,0,0,3,0,0,0,0,92024,0,0,0,0,0,0,0,0,47212,0,74324,0,0,0,0,0,0,0,0,0,0,0,1422,0,0,0,0,0,0,0,0,43009,628,0,9137,382,1404,3470,0,0,0,0,523,4661,818582,0,0,402392,0,0,0,0,0,51727,0,0,0,0,16,0,0,326,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,121536,0,1422,48697,0,5833,0,29053,0,0,0,0,0,0,0,0,5350,393444,0,0,0,0,0,0,0,0,0,0,1015650,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000,0,0,28054,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9327,6/30/2025 0:00:00,4423,0,0,0,0,96947344,3384411,559983,112565750,0,96947344,3384411,559983,0,0,0,14,0,0,0,0,92024,0,0,0,0,0,0,0,0,2057600,0,568925,0,0,0,0,0,0,0,0,0,0,0,324164,0,0,0,0,0,0,0,0,1178181,10949,181790,411069,55446,420213,22005,0,0,0,0,9943,15143,17314707,0,0,3756780,0,0,0,0,3062339,775582,0,0,0,3905,586,5238,304,9620,575,116,16439,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2626525,0,732415,672673,0,381528,0,84235,0,0,0,0,0,0,0,0,668193,6887141,0,0,0,0,0,0,0,0,0,0,10778607,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,13084814,0,0,0,0,0,0,0,0,0,8430762,0,0,331251,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9335,6/30/2025 0:00:00,4427,0,0,0,0,70680096,955785,4212,80126151,0,74515096,955785,4212,0,0,0,33,0,0,0,0,122024,0,0,0,0,0,0,0,0,2119623,0,242793,0,0,0,0,0,0,0,0,0,0,0,351715,0,0,0,0,0,0,0,0,754317,12864,53998,298706,58024,121384,353905,0,0,0,0,5955,10538,24105773,0,0,18094157,0,0,0,0,905407,1760519,0,0,-83669,5500,179,7440,0,14524,0,269,22415,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,2362416,0,549537,557777,0,52925,0,113344,7884,0,0,0,0,0,0,0,413883,6998836,0,0,0,0,0,0,0,0,0,0,6036533,752,0,0,0,145974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,19112571,0,0,0,0,0,0,0,0,0,6000000,0,0,1018452,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9348,6/30/2025 0:00:00,4435,0,0,0,0,82009360,7100443,1306149,107414416,0,82009360,7100443,1306149,0,0,0,29,0,0,0,0,122024,0,0,0,0,0,0,0,0,2406787,0,442375,0,0,0,0,0,0,0,0,0,0,0,344407,0,0,0,0,0,0,0,0,951888,22897,106929,227969,61540,258073,303715,0,0,0,0,9610,25424,8551181,0,0,19312403,0,0,0,0,1702942,4377264,0,0,-30360,0,686,3716,291,9312,250,0,14255,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,2849162,0,401532,599859,0,630935,0,170255,0,0,0,0,0,0,105556519,0,1914511,13641983,0,0,0,0,0,0,0,0,0,0,16816564,1593,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,22442413,0,0,0,0,0,0,0,0,0,17271381,0,0,1398185,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9349,6/30/2025 0:00:00,4436,0,0,0,0,202643054,23080029,7767286,279679876,0,202643054,23080029,7767286,0,0,0,81,0,0,0,0,102024,0,0,0,0,0,0,0,0,3968365,0,2919260,0,0,0,0,0,0,0,0,0,0,0,551845,0,0,0,0,0,0,0,0,1225762,62500,111241,287778,103095,391009,716637,0,22903,0,0,23707,25348,44682378,0,0,18287427,0,0,0,0,4416568,10108393,0,0,0,0,1957,9606,960,17631,112,780,31046,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,6887625,0,1261203,2743182,0,2118575,0,281094,0,0,0,0,0,0,0,0,1583836,24409648,0,0,0,0,0,0,0,0,0,0,44372979,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,28835852,0,0,0,0,0,0,0,0,0,33118620,0,0,1419844,1659.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9358,6/30/2025 0:00:00,4443,0,0,0,0,58016812,2161756,2291739,73032809,0,58016812,2161756,2291739,0,0,0,25,0,0,0,0,122024,0,0,0,0,0,0,0,0,694355,0,509135,0,0,0,0,0,0,0,0,0,0,0,41973,0,0,0,0,0,0,0,0,550642,1195,18682,239811,12000,82660,96332,0,0,0,0,7001,5153,2984543,0,0,4730457,0,0,0,0,2238306,1534245,0,0,0,103775,384,2451,230,4267,305,307,7944,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1203490,0,244733,373366,0,50381,0,82108,0,0,0,0,0,0,0,0,519414,480165,0,0,0,0,0,0,0,0,-1027150,0,12300779,1684,0,0,0,283209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9370,6/30/2025 0:00:00,4449,0,0,0,0,33896326,716902,0,45854169,0,37769975,716902,0,0,0,0,6,0,0,0,0,62024,0,0,0,0,0,0,0,0,742857,0,250770,0,0,0,0,0,0,0,0,0,0,0,237434,0,0,0,0,0,0,0,0,473073,5746,60714,122945,11445,27930,198950,0,0,0,0,4275,13507,6294731,0,0,10056421,0,0,0,0,181565,1485633,0,0,0,0,247,2907,36,4556,166,0,7926,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,993627,0,328575,133572,0,180045,19424,0,41473,0,0,0,0,0,0,0,1021021,1896494,0,0,0,0,0,0,0,0,69574,0,6300509,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,665478,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9373,6/30/2025 0:00:00,4451,0,0,0,0,514187863,4351719,166336,694657571,0,518500400,31595779,166336,0,0,0,39,0,0,0,0,122024,0,0,0,0,0,0,0,0,14582082,456,1268524,0,0,0,0,0,0,0,0,0,0,0,2327474,0,0,0,0,0,0,0,0,8397782,53515,1195211,2423580,307099,708338,1508994,0,0,0,0,66070,114569,25122982,0,0,5633664,0,0,0,0,26294270,19432153,0,0,-42292,85447,2072,23510,874,34407,104,2565,63539,0,0,0,0,0,0,0,0,0,0,0,0,0,154,2,0,0,0,0,0,0,15850150,0,5331225,4547931,0,729574,0,525000,719,0,0,0,0,679746501,0,0,26450580,8353037,0,0,0,0,0,0,0,0,-1241868,0,72499314,1066,0,12232996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,9870922,0,0,0,0,0,70409000,0,0,70409000,265349344,0,0,3788833,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9376,6/30/2025 0:00:00,4453,0,0,0,0,15266740,314474,0,18821348,0,15266740,314474,0,0,0,0,0,0,0,0,0,82024,0,0,0,0,0,0,0,0,240536,0,197133,0,0,0,0,0,0,0,0,0,0,0,37435,0,0,0,0,0,0,0,0,177047,2582,20155,68337,4050,10883,31733,0,0,0,0,1835,7475,3648785,0,0,2985444,0,0,0,0,572388,51180,0,0,0,0,57,497,0,1117,0,28,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,437669,0,66729,15841,0,147288,0,8155,0,0,0,0,0,0,0,0,189489,1314099,0,0,0,0,0,0,0,0,0,0,3200240,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9381,6/30/2025 0:00:00,4456,0,0,0,0,792968514,3590340,0,881130483,0,792968514,3590340,0,0,0,0,200,0,0,0,0,62024,0,0,0,0,0,0,0,0,14749050,0,6057105,0,0,0,0,0,0,0,0,0,0,0,928965,0,0,0,0,0,0,0,0,3903369,132757,611157,1421386,468723,1404585,816377,0,0,0,0,72778,1786841,64755917,0,0,47088050,0,0,0,0,14290906,54388889,0,0,0,217004,4565,25854,1245,42046,3152,1532,78394,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,20806155,0,3313311,6253923,0,6328673,0,525000,1195161,0,0,0,0,0,0,0,4805467,58080618,0,0,0,0,0,0,0,0,-161609,0,106326627,1207,0,0,0,93829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3732,97710981,0,0,0,0,0,0,0,0,0,60128046,0,0,14304056,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9398,6/30/2025 0:00:00,4469,0,0,0,0,33904603,1877432,779450,42574974,0,33904603,1877432,779450,0,0,0,21,0,0,0,0,62024,0,0,0,0,0,0,0,0,948523,0,153255,0,0,0,0,0,0,0,0,0,0,0,33303,0,0,0,0,0,0,0,0,274366,195,14000,128343,825,73748,14260,0,0,0,0,2349,11642,12497883,0,0,3754859,0,0,0,0,480990,146585,0,0,0,0,416,1408,93,3149,0,199,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1101778,0,96215,331928,0,320573,0,79663,11672,0,0,0,0,0,0,0,226488,6265960,0,0,0,0,0,0,0,0,0,0,6060002,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900000,0,0,151217,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9408,6/30/2025 0:00:00,4478,0,0,0,0,38438364,246087,35331,44108648,0,38438364,246087,35331,0,0,0,17,0,0,0,0,32025,0,0,0,0,0,0,0,0,404851,0,446572,0,0,0,0,0,0,0,0,0,0,0,210236,0,0,0,0,0,0,0,0,408718,4950,54136,133819,7989,21291,251168,0,0,0,0,4134,23185,6967876,0,0,3572275,0,0,0,0,788903,1069095,0,0,0,78936,13,2168,25,5656,0,203,8065,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,851423,0,289172,35248,0,230366,0,0,0,0,0,0,0,0,0,0,567352,18844238,0,0,0,0,0,0,0,0,0,0,4833822,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758700,0,0,744815,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
