FI Type Name,FI Group Name,FI Industry Name,Company Name,Canadian Trade Company Name,Representative Name,Title,Address Line 1,Address Line 2,City,Province State,Postal ZIP Code,Authorized Insurance Classes
Federally Regulated Financial Institutions,Banks,Domestic Banks,Tangerine Bank,,Terri-Lee  Weeks,Chief Executive Officer,600-3389 STEELES AVE E,,TORONTO,Ontario,M2H 0A1,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Toronto-Dominion Bank (The),,Raymond C. Chun,Group President and Chief Executive Officer,TORONTO-DOMINION CENTRE,PO BOX 1 STN TORONTO DOM,TORONTO,Ontario,M5K 1A2,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Vancity Community Investment Bank,,Wellington Charles-Geoffrey Holbrook,Chief Executive Officer,183 TERMINAL AVENUE,,VANCOUVER,British Columbia,V6A 4G2,
Federally Regulated Financial Institutions,Banks,Domestic Banks,VersaBank,,Susan T. McGovern,Interim Chief Executive Officer,140 Fullarton Street,"Suite 2002, Talbot Centre",London,Ontario,N6A 5P2,
Federally Regulated Financial Institutions,Banks,Domestic Banks,Wealth One Bank of Canada,,John Philip Webster,Chief Executive Officer,18 King Street East,Suite 1002,Toronto,Ontario,M5C 1C4,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,BNP Paribas,BNP Paribas,Sonja  Volpe,President,2001 BOULEVARD ROBERT-BOURASSA,,MONTREAL,Quebec,H3A 2A6,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"Bank of America, National Association","Bank of America, National Association",Drew  McDonald,Managing Director,400 - 181 BAY ST,,TORONTO,Ontario,M5J 2V8,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Bank of China Limited,"Bank of China, Toronto Branch",Jun  Deng,Principal Officer,6108 ONE FIRST CANADIAN PLACE,100 KING STREET WEST,TORONTO,Ontario,M5X 1C8,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Bank of New York Mellon (The),Bank of New York Mellon (The),Thomas  Huygens,Principal Officer,1 YORK STREET,9TH FLOOR,TORONTO,Ontario,M5J 0B6,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Barclays Bank PLC,"Barclays Bank PLC, Canada Branch",Geoff  Belsher,Principal Officer,47TH FLOOR,181 BAY STREET,TORONTO,Ontario,M5J 2T3,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"Capital One, National Association",Capital One Bank (Canada Branch),Asa  Harrington,Principal Officer,161 BAY ST,SUITE 1800,TORONTO,Ontario,M5J 2S1,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,China Construction Bank,China Construction Bank Toronto Branch,Zhe  Zhang,Principal Officer,181 BAY STREET,SUITE 3650,TORONTO,Ontario,M5J 2T3,
