name,url,abbreviation,source
London School of Theology,https://www.lst.ac.uk,,uk:edu
London South Bank University,https://www.lsbu.ac.uk,,uk:edu
London Studio Centre,https://www.londonstudiocentre.org,,uk:edu
Loughborough College,https://www.loucoll.ac.uk,,uk:edu
Loughborough University,https://www.lboro.ac.uk,,uk:edu
East Coast College,https://www.eastcoast.ac.uk/,,uk:edu
Manchester Metropolitan University,https://www.mmu.ac.uk,,uk:edu
The Metanoia Institute,https://www.metanoia.ac.uk,,uk:edu
MidKent College,https://www.midkent.ac.uk,,uk:edu
Middlesbrough College,https://www.mbro.ac.uk,,uk:edu
Middlesex University,https://www.mdx.ac.uk,,uk:edu
Morley College,https://www.morleycollege.ac.uk,,uk:edu
Moulton College,https://www.moulton.ac.uk,,uk:edu
Mountview Academy of Theatre Arts,https://www.mountview.org.uk,,uk:edu
Myerscough College,https://www.myerscough.ac.uk,,uk:edu
Nazarene Theological College,https://www.nazarene.ac.uk,,uk:edu
East Lancashire Learning Group,https://www.nelsongroup.ac.uk,,uk:edu
New College Durham,https://www.newcollegedurham.ac.uk,,uk:edu
Nottingham College,https://www.nottinghamcollege.ac.uk,,uk:edu
New College Swindon,https://www.newcollege.ac.uk,,uk:edu
Newbury College,https://www.newbury-college.ac.uk,,uk:edu
Newcastle College,https://www.ncgrp.co.uk,,uk:edu
Newham College of Further Education,https://www.newham.ac.uk,,uk:edu
Petroc,https://www.petroc.ac.uk,,uk:edu
North East Surrey College of Technology (Nescot),https://www.nescot.ac.uk,,uk:edu
Dn Colleges Group,https://www.dncolleges.ac.uk,,uk:edu
North Warwickshire and South Leicestershire College,https://www.nwslc.ac.uk,,uk:edu
Northern College of Acupuncture,https://www.nca.ac.uk,,uk:edu
St Hild College,https://www.sthild.org,,uk:edu
City College Norwich,https://www.ccn.ac.uk,,uk:edu
Norwich University of the Arts,https://www.nua.ac.uk,,uk:edu
Nottingham Trent University,https://www.ntu.ac.uk,,uk:edu
Oaklands College,https://www.oaklands.ac.uk,,uk:edu
Open College of the Arts,https://www.oca-uk.com,,uk:edu
Activate Learning,https://www.activatelearning.ac.uk,,uk:edu
Oxford Brookes University,https://www.brookes.ac.uk,,uk:edu
Salford City College,https://www.salfordcc.ac.uk,,uk:edu
Peter Symonds College,https://psc.ac.uk/ahed,,uk:edu
Plumpton College,https://www.plumpton.ac.uk,,uk:edu
Arts University Plymouth,https://www.plymouthart.ac.uk,,uk:edu
City College Plymouth,https://www.cityplym.ac.uk,,uk:edu
Preston College,https://www.preston.ac.uk,,uk:edu
"Queen Margaret University, Edinburgh",https://www.qmu.ac.uk,,uk:edu
Queen's University Belfast,https://www.qub.ac.uk,,uk:edu
Rambert School of Ballet and Contemporary Dance,https://www.rambertschool.org.uk,,uk:edu
Ravensbourne University London,https://www.rave.ac.uk,,uk:edu
Reaseheath College,https://www.reaseheath.ac.uk,,uk:edu
Arden University,https://www.arden.ac.uk,,uk:edu
"Richmond, The American International University in London",https://www.richmond.ac.uk,,uk:edu
